TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,BalanceGroup,Target
503.76,Debit,Los Angeles,Online,21.999999999999996,Student,35.0,1.0,447.8199999999997,Young,Low,1
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,1.0,7981.45,Senior,Medium,3
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,1.0,8849.26,Senior,Medium,2
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,1.0,3528.72,Senior,Low,2
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,1.0,480.15999999999985,Middle,Low,4
2.5000000000000284,Debit,San Diego,Online,47.0,Doctor,107.0,1.0,12145.27,Middle,High,0
300.08,Credit,Austin,Online,68.0,Doctor,47.0,1.0,13546.75,Senior,High,0
115.82999999999998,Debit,Fresno,Branch,39.0,Engineer,167.0,1.0,6481.04,Middle,Medium,3
53.56999999999999,Debit,Houston,ATM,69.0,Retired,121.0,1.0,1651.33,Senior,Low,4
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,1.0,11174.94,Middle,High,0
331.65,Debit,Portland,Online,41.0,Engineer,61.0,1.0,4172.57,Middle,Low,4
5.039999999999992,Debit,Washington,ATM,56.0,Retired,41.0,1.0,5558.36,Senior,Medium,3
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,1.0,11151.53,Senior,High,0
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1.0,1415.52,Senior,Low,4
841.28,Debit,Tucson,Online,26.0,Student,80.0,1.0,1103.6400000000008,Young,Low,1
38.150000000000006,Debit,Mesa,Online,26.0,Student,108.0,1.0,303.6800000000003,Young,Low,1
124.72,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,1.0,6309.8,Middle,Medium,3
302.45,Credit,San Antonio,Branch,78.0,Retired,40.000000000000014,1.0,5133.61,Senior,Medium,2
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,1.0,9344.98,Middle,Medium,3
5.769999999999982,Credit,Los Angeles,Branch,23.0,Student,254.0,1.0,1117.9700000000003,Young,Low,1
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,1.0,11835.35,Senior,High,0
16.159999999999997,Debit,Milwaukee,ATM,50.0,Doctor,124.0,1.0,14401.169999999998,Middle,High,0
486.08,Debit,Oklahoma City,Online,18.0,Student,68.0,1.0,1748.69,Young,Low,1
336.39,Debit,San Antonio,Branch,21.0,Student,17.999999999999986,1.0,1000.46,Young,Low,1
234.57,Debit,Chicago,Online,23.0,Student,120.0,1.0,263.9800000000005,Young,Low,1
6.000000000000028,Debit,Chicago,Online,30.0,Doctor,246.0,1.0,5442.76,Young,Medium,3
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,1.0,341.9399999999996,Young,Low,1
45.849999999999994,Debit,Los Angeles,ATM,20.0,Student,92.0,1.0,1659.15,Young,Low,1
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,1.0,10113.66,Senior,High,0
265.76,Debit,Philadelphia,Online,54.0,Retired,92.0,1.0,4446.17,Senior,Low,4
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,1.0,6452.77,Senior,Medium,3
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,1.0,2788.2,Middle,Low,2
267.9,Debit,San Antonio,Online,20.0,Student,160.0,1.0,596.1599999999999,Young,Low,1
496.03,Debit,San Francisco,Branch,61.0,Doctor,265.0,1.0,12904.66,Senior,High,0
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,1.0,9062.4,Middle,Medium,3
83.01999999999998,Credit,Seattle,Online,36.0,Engineer,171.0,1.0,9009.56,Middle,Medium,2
93.25999999999999,Credit,New York,Online,20.0,Student,72.0,1.0,1152.1999999999994,Young,Low,1
803.3700000000001,Credit,Memphis,Branch,68.0,Doctor,129.0,1.0,12168.37,Senior,High,0
35.75999999999996,Debit,Charlotte,Branch,23.0,Student,122.0,1.0,611.8599999999997,Young,Low,1
28.53000000000003,Debit,Washington,Online,62.0,Doctor,99.0,1.0,8670.53,Senior,Medium,3
139.53000000000003,Credit,Louisville,Online,53.0,Doctor,177.0,1.0,10098.86,Senior,High,0
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,1.0,5307.74,Middle,Medium,3
60.650000000000006,Credit,Tucson,Branch,56.0,Retired,53.0,1.0,1047.2800000000002,Senior,Low,2
74.86000000000001,Debit,Nashville,Branch,70.0,Doctor,125.0,1.0,6921.48,Senior,Medium,3
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,1.0,112.76000000000022,Middle,Low,4
126.20999999999998,Debit,Baltimore,Branch,75.0,Retired,268.0,1.0,5669.66,Senior,Medium,3
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,1.0,4057.1,Middle,Low,4
281.85,Debit,Detroit,ATM,21.999999999999996,Student,109.0,1.0,1585.98,Young,Low,1
777.8800000000001,Debit,Houston,Branch,31.0,Engineer,17.0,1.0,6825.55,Middle,Medium,3
119.18,Debit,Los Angeles,Branch,56.0,Retired,96.0,1.0,5516.5,Senior,Medium,3
177.19,Debit,Chicago,Online,76.0,Retired,43.0,1.0,5343.3,Senior,Medium,3
260.88,Debit,Denver,Branch,21.999999999999996,Student,36.0,1.0,903.0500000000002,Young,Low,1
169.47,Debit,Chicago,Online,24.0,Student,19.0,1.0,1806.1599999999999,Young,Low,1
73.23000000000002,Debit,Portland,Branch,26.0,Student,14.0,1.0,787.7399999999998,Young,Low,1
792.5700000000002,Debit,Baltimore,ATM,19.0,Student,164.0,1.0,770.3699999999999,Young,Low,1
237.06,Debit,Phoenix,Online,71.0,Retired,46.0,1.0,1182.77,Senior,Low,4
34.170000000000016,Credit,Philadelphia,Online,54.0,Engineer,54.0,1.0,726.5500000000002,Senior,Low,2
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,1.0,14464.3,Middle,High,0
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,1.0,12046.3,Senior,High,0
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.0,1.0,7885.64,Senior,Medium,3
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1.0,1952.35,Young,Low,1
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,1.0,7328.52,Senior,Medium,3
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,1.0,3210.39,Senior,Low,4
630.36,Debit,Mesa,ATM,62.0,Retired,52.0,1.0,1363.65,Senior,Low,4
10.940000000000026,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1.0,1241.9899999999998,Senior,Low,2
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,1.0,7873.28,Middle,Medium,3
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,1.0,10328.23,Middle,High,0
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,1.0,293.2399999999998,Young,Low,1
3.299999999999983,Credit,Los Angeles,Branch,50.0,Doctor,131.0,1.0,11385.37,Middle,High,0
20.359999999999985,Debit,Tucson,Branch,62.0,Retired,75.0,1.0,2762.48,Senior,Low,4
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,1.0,7432.99,Senior,Medium,3
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1.0,1057.0000000000005,Young,Low,1
11.180000000000007,Debit,Atlanta,Online,43.0,Doctor,161.0,1.0,5956.89,Middle,Medium,3
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,1.0,7261.59,Senior,Medium,3
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1.0,1748.02,Senior,Low,4
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,108.0,1.0,9660.22,Middle,Medium,3
485.54,Debit,Houston,ATM,46.0,Engineer,143.0,1.0,6371.51,Middle,Medium,3
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,1.0,9442.47,Senior,Medium,3
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,1.0,13531.219999999998,Senior,High,0
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1.0,1389.37,Senior,Low,4
116.86000000000001,Debit,Louisville,ATM,55.0,Engineer,171.0,1.0,6706.56,Senior,Medium,3
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,1.0,420.6700000000001,Young,Low,1
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,1.0,5140.93,Middle,Medium,2
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,1.0,7945.57,Senior,Medium,3
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.0,1.0,5873.54,Middle,Medium,3
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,1.0,3074.45,Senior,Low,2
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,1.0,6155.76,Senior,Medium,3
457.3,Debit,Virginia Beach,Online,28.0,Engineer,15.0,1.0,8318.29,Young,Medium,3
506.24,Debit,Chicago,ATM,58.0,Engineer,64.0,1.0,230.09000000000015,Senior,Low,4
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,1.0,2513.56,Senior,Low,4
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,1.0,10090.05,Middle,High,0
581.65,Debit,Boston,ATM,21.999999999999996,Student,176.0,1.0,480.1899999999996,Young,Low,1
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,1.0,13498.55,Middle,High,0
91.48000000000002,Debit,Fort Worth,ATM,51.0,Doctor,141.0,1.0,14942.779999999999,Senior,High,0
5.249999999999972,Debit,San Jose,ATM,39.0,Doctor,49.0,1.0,14143.32,Middle,High,0
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,1.0,6736.3,Senior,Medium,2
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,1.0,3313.07,Middle,Low,4
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1.0,1540.87,Senior,Low,2
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,1.0,6820.23,Middle,Medium,2
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,1.0,714.4499999999998,Middle,Low,4
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1.0,1306.9099999999999,Young,Low,1
78.32999999999998,Credit,Memphis,Online,56.0,Engineer,189.0,1.0,7255.33,Senior,Medium,2
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1.0,1153.8400000000006,Senior,Low,4
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,1.0,6647.73,Senior,Medium,2
34.06999999999999,Debit,Philadelphia,Branch,21.999999999999996,Student,81.0,1.0,8709.77,Young,Medium,1
492.05999999999995,Debit,Fresno,Online,23.0,Student,74.0,1.0,857.8999999999996,Young,Low,1
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,1.0,509.4499999999998,Senior,Low,2
73.55000000000001,Debit,Atlanta,ATM,51.0,Engineer,158.0,1.0,2812.06,Senior,Low,4
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,1.0,6179.91,Senior,Medium,3
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,1.0,3484.32,Senior,Low,4
218.96,Debit,Seattle,ATM,18.0,Student,13.0,1.0,754.21,Young,Low,1
227.39,Debit,Atlanta,Online,18.0,Student,65.0,1.0,751.0900000000001,Young,Low,1
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,1.0,8510.09,Middle,Medium,2
341.15,Debit,San Jose,Online,18.0,Student,148.0,1.0,511.3699999999999,Young,Low,1
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,1.0,12648.32,Senior,High,0
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,1.0,233.21000000000004,Senior,Low,2
75.15,Debit,Boston,ATM,23.0,Student,154.0,1.0,1092.9200000000005,Young,Low,1
23.30000000000001,Debit,Los Angeles,ATM,59.0,Engineer,161.0,1.0,6711.15,Senior,Medium,3
47.379999999999995,Credit,Seattle,Online,25.0,Student,61.0,1.0,459.3699999999999,Young,Low,1
488.15,Debit,Louisville,Branch,43.0,Engineer,168.0,1.0,7071.09,Middle,Medium,3
12.819999999999993,Debit,Fort Worth,ATM,44.0,Engineer,156.0,1.0,9045.19,Middle,Medium,3
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,1.0,9642.12,Middle,Medium,3
270.72,Credit,Washington,Online,26.0,Engineer,53.0,1.0,6263.96,Young,Medium,2
97.98000000000002,Debit,Denver,Branch,72.0,Retired,17.999999999999986,1.0,7460.33,Senior,Medium,3
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,1.0,4233.82,Senior,Low,4
251.18,Debit,San Jose,ATM,42.0,Engineer,246.0,1.0,8303.9,Middle,Medium,3
44.52000000000001,Debit,El Paso,Online,28.0,Student,205.0,1.0,314.27999999999975,Young,Low,1
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,1.0,5241.23,Middle,Medium,3
386.68,Debit,New York,Branch,46.0,Doctor,128.0,1.0,6863.06,Middle,Medium,3
167.14,Debit,Denver,Online,76.0,Retired,20.0,1.0,3877.73,Senior,Low,4
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,1.0,4046.58,Senior,Low,4
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,1.0,2409.73,Senior,Low,4
671.73,Debit,Washington,Branch,58.0,Engineer,54.0,1.0,5211.88,Senior,Medium,3
255.04,Debit,Seattle,ATM,45.0,Engineer,152.0,1.0,6217.86,Middle,Medium,3
45.77000000000001,Debit,Philadelphia,Online,25.0,Student,109.0,1.0,5978.12,Young,Medium,1
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1.0,1671.6599999999999,Young,Low,1
47.420000000000016,Debit,San Diego,ATM,64.0,Doctor,28.0,1.0,8253.52,Senior,Medium,3
35.99000000000001,Debit,Miami,Branch,63.0,Retired,129.0,1.0,4489.79,Senior,Low,4
151.19,Credit,New York,Branch,37.0,Doctor,96.0,1.0,11903.82,Middle,High,0
242.62,Credit,San Francisco,Online,21.999999999999996,Student,234.0,1.0,483.0199999999995,Young,Low,1
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,1.0,816.0799999999999,Young,Low,1
43.46000000000001,Debit,Boston,ATM,25.0,Student,80.0,1.0,578.0600000000004,Young,Low,1
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,1.0,3133.85,Senior,Low,4
365.14,Debit,Dallas,Online,68.0,Retired,57.0,1.0,5894.09,Senior,Medium,3
757.41,Debit,Los Angeles,ATM,21.999999999999996,Student,37.0,1.0,9532.42,Young,Medium,1
20.539999999999992,Debit,Fort Worth,Branch,51.0,Engineer,72.0,1.0,5327.03,Senior,Medium,3
475.36,Debit,Phoenix,ATM,34.0,Engineer,105.0,1.0,2000.6,Middle,Low,4
34.74000000000001,Debit,San Francisco,ATM,56.0,Retired,24.0,1.0,6827.57,Senior,Medium,3
211.18,Debit,Washington,ATM,73.0,Retired,90.0,1.0,4069.17,Senior,Low,4
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.0,1.0,7943.47,Senior,Medium,2
744.41,Credit,Houston,Online,39.0,Engineer,107.0,1.0,8842.47,Middle,Medium,2
61.43000000000001,Debit,Phoenix,Online,24.0,Student,170.0,1.0,1882.77,Young,Low,1
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,1.0,12526.71,Middle,High,0
361.46,Debit,Nashville,Online,21.0,Student,83.0,1.0,4737.84,Young,Low,1
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,1.0,2300.53,Senior,Low,4
241.11,Debit,Columbus,Branch,30.0,Doctor,55.0,1.0,12385.05,Young,High,0
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,1.0,4547.06,Middle,Low,2
485.54,Debit,Louisville,Online,19.0,Student,148.0,1.0,1533.3199999999997,Young,Low,1
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,1.0,7005.05,Middle,Medium,3
711.3,Debit,San Jose,Branch,21.0,Student,51.0,1.0,955.3999999999996,Young,Low,1
12.22999999999999,Debit,Houston,ATM,42.0,Engineer,139.0,1.0,7844.88,Middle,Medium,3
350.94,Debit,Colorado Springs,ATM,20.0,Student,64.0,1.0,221.5600000000004,Young,Low,1
301.85,Debit,Columbus,Online,54.0,Engineer,25.0,1.0,6586.19,Senior,Medium,3
29.340000000000003,Debit,Louisville,Online,65.0,Retired,30.0,1.0,3944.82,Senior,Low,4
231.71,Debit,Raleigh,Branch,27.0,Student,148.0,1.0,1127.9799999999996,Young,Low,1
179.43,Debit,Oklahoma City,ATM,58.0,Retired,244.0,1.0,2626.63,Senior,Low,4
36.71000000000001,Debit,Jacksonville,Branch,48.0,Doctor,55.0,1.0,6459.38,Middle,Medium,3
138.12,Credit,Los Angeles,Branch,53.0,Doctor,281.0,1.0,1649.69,Senior,Low,2
233.24,Debit,Louisville,ATM,33.0,Engineer,72.0,1.0,6939.23,Middle,Medium,3
436.64,Debit,Los Angeles,Branch,31.0,Doctor,111.0,1.0,14365.18,Middle,High,0
870.4300000000001,Debit,Los Angeles,Branch,29.0,Doctor,55.0,1.0,10115.18,Young,High,0
354.4,Debit,Chicago,ATM,74.0,Retired,128.0,1.0,7358.65,Senior,Medium,3
22.629999999999995,Debit,Kansas City,Online,53.0,Engineer,112.0,1.0,4438.03,Senior,Low,4
182.19,Debit,Mesa,Branch,26.0,Student,53.0,1.0,1176.0999999999995,Young,Low,1
126.81,Debit,Philadelphia,Branch,26.0,Engineer,290.0,1.0,5427.98,Young,Medium,3
288.17,Debit,Virginia Beach,Online,37.0,Engineer,50.0,1.0,3653.11,Middle,Low,4
118.76999999999998,Debit,Atlanta,Branch,55.0,Engineer,123.0,1.0,2104.82,Senior,Low,4
651.82,Debit,Indianapolis,ATM,21.0,Student,166.0,1.0,1802.77,Young,Low,1
66.65,Debit,Detroit,ATM,37.0,Engineer,33.0,1.0,3559.96,Middle,Low,4
98.53,Debit,Denver,Branch,69.0,Retired,166.0,1.0,3564.8,Senior,Low,4
138.95,Debit,Washington,Online,71.0,Retired,30.0,1.0,6752.92,Senior,Medium,3
33.890000000000015,Debit,Nashville,Branch,26.0,Student,177.0,1.0,1444.75,Young,Low,1
23.710000000000008,Debit,Atlanta,Branch,58.0,Doctor,164.0,1.0,10788.89,Senior,High,0
26.06000000000003,Debit,San Diego,ATM,65.0,Doctor,283.0,1.0,12893.63,Senior,High,0
17.069999999999993,Debit,Los Angeles,Branch,27.0,Engineer,44.0,1.0,2798.15,Young,Low,1
703.8899999999999,Debit,San Antonio,Online,46.0,Engineer,62.0,1.0,3583.67,Middle,Low,4
26.549999999999983,Debit,Houston,ATM,77.0,Retired,228.0,1.0,3085.38,Senior,Low,4
147.4,Debit,San Jose,Branch,42.0,Engineer,259.0,1.0,6797.71,Middle,Medium,3
202.11,Debit,Memphis,ATM,27.0,Student,17.999999999999986,1.0,746.4700000000003,Young,Low,1
308.42,Debit,Nashville,Branch,75.0,Retired,39.0,1.0,5427.81,Senior,Medium,3
11.180000000000007,Debit,Miami,ATM,53.0,Engineer,144.0,1.0,7467.3,Senior,Medium,3
294.15,Debit,Fresno,Online,38.0,Engineer,136.0,1.0,6362.16,Middle,Medium,3
139.45,Debit,Boston,Online,27.0,Student,31.0,1.0,1305.7600000000002,Young,Low,1
